子	162
曰	162
潁	163
考	163
叔	163
純	164
孝	164
也	164
愛	165
其	165
母	165
施	166
及	166
莊	166
公	166
詩	167
曰	167
孝	168
子	168
不	168
匱	168
永	169
錫	169
爾	169
類	169
其	170
是	170
之	170
謂	170
乎	170
秋	171
七	171
月	171
天	172
王	172
使	172
宰	172
咺	172
來	172
歸	172
惠	172
公	172
仲	173
子	173
之	173
賵	173
緩	174
且	175
子	175
氏	175
未	175
薨	175
故	176
名	176
天	177
子	177
七	177
月	177
而	177
葬	177
同	178
軌	178
畢	178
至	178
諸	179
侯	179
五	179
月	179
同	180
盟	180
至	180
大	181
夫	181
三	181
月	181
同	182
位	182
至	182
士	183
踰	183
月	183
外	184
姻	184
至	184
贈	185
死	185
不	185
及	185
尸	185
弔	186
生	186
不	186
及	186
哀	186
豫	187
凶	187
事	187
非	188
禮	188
也	188
八	189
月	189
紀	190
人	190
伐	190
夷	190
夷	191
不	191
告	191
故	192
不	192
書	192
有	193
蜚	193
不	194
爲	194
災	194
亦	195
不	195
書	195
惠	196
公	196
季	196
年	196
敗	197
宋	197
師	197
于	197
黃	197
公	198
立	198
而	198
求	198
成	198
焉	198
九	199
月	199
及	200
宋	200
人	200
盟	200
于	200
宿	200
始	201
通	201
也	201
冬	202
十	202
月	202
庚	202
申	202
改	203
葬	203
惠	203
公	203
公	204
弗	204
臨	204
故	205
不	205
書	205
惠	206
公	206
之	206
薨	206
也	206
有	207
宋	207
師	207
大	208
子	208
少	208
葬	209
故	209
有	209
闕	209
是	210
以	210
改	210
葬	210
衞	211
侯	211
來	211
會	211
葬	211
不	212
見	212
公	212
亦	213
不	213
書	213
鄭	214
共	214
叔	214
之	214
亂	214
公	215
孫	215
滑	215
出	215
奔	215
衞	215
衞	216
人	216
爲	216
之	216
伐	216
鄭	216
取	217
廪	217
延	217
鄭	218
人	218
以	218
王	218
師	218
虢	219
師	219
伐	219
衞	219
南	219
鄙	219
請	220
師	220
于	220
邾	220
邾	221
子	221
使	221
私	221
于	221
公	221
子	221
豫	221
豫	222
請	222
往	222
公	223
弗	223
許	223
遂	224
行	224
及	225
邾	225
人	225
鄭	226
人	226
盟	226
于	226
翼	226
不	227
書	227
非	228
公	228
命	228
也	228
新	229
作	229
南	229
門	229
不	230
書	230
亦	231
非	231
公	231
命	231
也	231
十	232
二	232
月	232
祭	233
伯	233
來	233
非	234
王	234
命	234
也	234
衆	235
父	235
卒	235
公	236
不	236
與	236
小	236
斂	236
故	237
不	237
書	237
日	237
二	238
年	238
春	238
公	239
會	239
戎	239
于	239
潛	239
修	240
惠	240
公	240
之	240
好	240
也	240
戎	241
請	241
盟	241
公	242
辭	242
莒	243
子	243
娶	243
于	243
向	243
向	244
姜	244
不	244
安	244
莒	244
而	244
歸	244
夏	245
莒	246
人	246
入	246
向	246
以	247
姜	247
氏	247
還	247
司	248
空	248
無	248
駭	248
入	248
極	248
費	249
庈	249
父	249
勝	249
之	249
戎	250
請	250
盟	250
秋	251
盟	252
于	252
唐	252
復	253
修	253
戎	253
好	253
也	253
九	254
月	254
紀	255
